Frecuencia (Hz)	Nivel (dB)
11498,730469	-126,005692
11541,796875	-126,530891
11584,863281	-126,526932
11627,929688	-125,938087
11670,996094	-126,998055
11714,062500	-126,443291
11757,128906	-126,051186
11800,195312	-126,730133
11843,261719	-126,818764
11886,328125	-126,379356
11929,394531	-127,232178
11972,460938	-126,308693
12015,527344	-125,957687
12058,593750	-126,612541
12101,660156	-126,087669
12144,726562	-126,329834
12187,792969	-127,055710
12230,859375	-126,444656
12273,925781	-126,626060
12316,992188	-126,884827
12360,058594	-126,687798
12403,125000	-126,944252
12446,191406	-127,242073
12489,257812	-126,664055
12532,324219	-126,909279
12575,390625	-126,887459
12618,457031	-126,445480
12661,523438	-127,216240
12704,589844	-126,758537
12747,656250	-126,366951
12790,722656	-126,543159
12833,789062	-126,590256
12876,855469	-126,462852
12919,921875	-127,016182
12962,988281	-126,913490
13006,054688	-126,577408
13049,121094	-127,371681
13092,187500	-126,935150
13135,253906	-126,396538
13178,320312	-126,697052
13221,386719	-126,494835
13264,453125	-126,413033
13307,519531	-127,192680
13350,585938	-127,053749
13393,652344	-126,514496
13436,718750	-126,927399
13479,785156	-126,351227
13522,851562	-126,581055
13565,917969	-126,873878
13608,984375	-126,565605
13652,050781	-126,852600
13695,117188	-126,791977
13738,183594	-126,751228
13781,250000	-126,705421
13824,316406	-126,900864
13867,382812	-126,352448
13910,449219	-126,471375
13953,515625	-126,872864
13996,582031	-126,553665
14039,648438	-126,520836
14082,714844	-126,417503
14125,781250	-126,370674
14168,847656	-126,605049
14211,914062	-126,711647
14254,980469	-127,051956
14298,046875	-127,222061
14341,113281	-126,761055
14384,179688	-126,455002
14427,246094	-127,097023
14470,312500	-126,774246
14513,378906	-126,824493
14556,445312	-127,115868
14599,511719	-126,883224
14642,578125	-126,580750
14685,644531	-126,673370
14728,710938	-126,437553
14771,777344	-126,687599
14814,843750	-127,192009
14857,910156	-126,473312
14900,976562	-126,723068
14944,042969	-126,714508
14987,109375	-126,599815
15030,175781	-126,722076
15073,242188	-126,996872
15116,308594	-126,967331
15159,375000	-127,208992
15202,441406	-126,889328
15245,507812	-126,373726
15288,574219	-126,737099
15331,640625	-126,984581
15374,707031	-126,845566
15417,773438	-126,891876
15460,839844	-126,430626
15503,906250	-126,666588
15546,972656	-127,143700
15590,039062	-126,744080
15633,105469	-126,566719
15676,171875	-126,596962
15719,238281	-126,750359
15762,304688	-126,476479
15805,371094	-126,954163
15848,437500	-126,896866
15891,503906	-127,197250
15934,570312	-127,062721
15977,636719	-126,542908
16020,703125	-127,067894
16063,769531	-127,053009
16106,835938	-126,622505
16149,902344	-126,823837
16192,968750	-126,956749
16236,035156	-126,695183
16279,101562	-126,793716
16322,167969	-126,863739
16365,234375	-126,685440
16408,300781	-126,723389
16451,367188	-126,752945
16494,433594	-126,545639
16537,500000	-127,016273
16580,566406	-127,257034
16623,632812	-126,544548
16666,699219	-126,774101
16709,765625	-126,956406
16752,832031	-126,820381
16795,898438	-126,968582
16838,964844	-127,195404
16882,031250	-126,893272
16925,097656	-127,094215
16968,164062	-126,850899
17011,230469	-126,793205
17054,296875	-126,638092
17097,363281	-126,933975
17140,429688	-127,012169
17183,496094	-127,066788
17226,562500	-126,723099
17269,628906	-126,533699
17312,695312	-126,682541
17355,761719	-126,797577
17398,828125	-126,661354
17441,894531	-127,049995
17484,960938	-126,888046
17528,027344	-126,960167
17571,093750	-126,900841
17614,160156	-126,317307
17657,226562	-126,874031
17700,292969	-127,043068
17743,359375	-126,687531
17786,425781	-127,090691
17829,492188	-126,853714
17872,558594	-126,843735
17915,625000	-127,229202
17958,691406	-127,186676
18001,757812	-126,759521
18044,824219	-127,092850
18087,890625	-126,998825
18130,957031	-126,894264
18174,023438	-127,134422
18217,089844	-127,072502
18260,156250	-127,092819
18303,222656	-127,240486
18346,289062	-127,252289
18389,355469	-126,979195
18432,421875	-127,158203
18475,488281	-126,584122
18518,554688	-126,480728
18561,621094	-126,818558
18604,687500	-126,532318
18647,753906	-127,091034
18690,820312	-126,818184
18733,886719	-126,754478
18776,953125	-126,920914
18820,019531	-126,719902
18863,085938	-126,712364
18906,152344	-126,979912
18949,218750	-126,673874
18992,285156	-126,635796
19035,351562	-126,932495
19078,417969	-126,977570
19121,484375	-127,175430
19164,550781	-127,026054
19207,617188	-126,832504
19250,683594	-126,684532
19293,750000	-127,048668
19336,816406	-126,874161
19379,882812	-126,831711
19422,949219	-126,918488
19466,015625	-126,870712
19509,082031	-126,937790
19552,148438	-127,186234
19595,214844	-126,587677
19638,281250	-126,603554
19681,347656	-127,007683
19724,414062	-127,132545
19767,480469	-127,195847
19810,546875	-126,963821
19853,613281	-126,799957
19896,679688	-126,884781
19939,746094	-126,906647
19982,812500	-127,077446
20025,878906	-127,144928
20068,945312	-127,173431
20112,011719	-126,576645
20155,078125	-126,740982
20198,144531	-126,897400
20241,210938	-127,000832
20284,277344	-127,540169
20327,343750	-127,205078
20370,410156	-126,916237
20413,476562	-127,145523
20456,542969	-126,994637
20499,609375	-126,525002
20542,675781	-126,808289
20585,742188	-127,031990
20628,808594	-126,866119
20671,875000	-126,893036
20714,941406	-126,838699
20758,007812	-127,153313
20801,074219	-127,340561
20844,140625	-126,881042
20887,207031	-126,598625
20930,273438	-126,750473
20973,339844	-126,922737
21016,406250	-127,022186
21059,472656	-127,127869
21102,539062	-126,810165
21145,605469	-126,703392
21188,671875	-126,994690
21231,738281	-126,631767
21274,804688	-126,834595
21317,871094	-127,080276
21360,937500	-127,044853
21404,003906	-127,173073
21447,070312	-127,025993
21490,136719	-126,837296
21533,203125	-126,935272
21576,269531	-127,209869
21619,335938	-126,725273
21662,402344	-126,792870
21705,468750	-126,569237
21748,535156	-126,456345
21791,601562	-126,921898
21834,667969	-126,743057
21877,734375	-126,610092
21920,800781	-127,067322
21963,867188	-126,795883
22006,933594	-126,901230
